manuscript,authors,affiliation,year,journal
Toward Repositioning Niclosamide for Antivirulence Therapy of Pseudomonas aeruginosa Lung Infections: Development of Inhalable Formulations through Nanosuspension Technology,Costabile G.,Gabri,2015,Molecular Pharmaceutics
Toward Repositioning Niclosamide for Antivirulence Therapy of Pseudomonas aeruginosa Lung Infections: Development of Inhalable Formulations through Nanosuspension Technology,d'Angelo I.,University of Campania Luigi Vanvitelli,2015,Molecular Pharmaceutics
Toward Repositioning Niclosamide for Antivirulence Therapy of Pseudomonas aeruginosa Lung Infections: Development of Inhalable Formulations through Nanosuspension Technology,Rampioni G.,University Roma Tre,2015,Molecular Pharmaceutics
Toward Repositioning Niclosamide for Antivirulence Therapy of Pseudomonas aeruginosa Lung Infections: Development of Inhalable Formulations through Nanosuspension Technology,Bondi R.,University Roma Tre,2015,Molecular Pharmaceutics
Toward Repositioning Niclosamide for Antivirulence Therapy of Pseudomonas aeruginosa Lung Infections: Development of Inhalable Formulations through Nanosuspension Technology,Pompili B.,Sapienza University of Rome,2015,Molecular Pharmaceutics
Toward Repositioning Niclosamide for Antivirulence Therapy of Pseudomonas aeruginosa Lung Infections: Development of Inhalable Formulations through Nanosuspension Technology,Ascenzioni F.,Sapienza University of Rome,2015,Molecular Pharmaceutics
Toward Repositioning Niclosamide for Antivirulence Therapy of Pseudomonas aeruginosa Lung Infections: Development of Inhalable Formulations through Nanosuspension Technology,Mitidieri E.,University of Naples Federico II,2015,Molecular Pharmaceutics
Toward Repositioning Niclosamide for Antivirulence Therapy of Pseudomonas aeruginosa Lung Infections: Development of Inhalable Formulations through Nanosuspension Technology,d'Emmanuele di Villa Bianca R.,University of Naples Federico II,2015,Molecular Pharmaceutics
Toward Repositioning Niclosamide for Antivirulence Therapy of Pseudomonas aeruginosa Lung Infections: Development of Inhalable Formulations through Nanosuspension Technology,Sorrentino R.,University of Naples Federico II,2015,Molecular Pharmaceutics
Toward Repositioning Niclosamide for Antivirulence Therapy of Pseudomonas aeruginosa Lung Infections: Development of Inhalable Formulations through Nanosuspension Technology,Miro A.,University of Naples Federico II,2015,Molecular Pharmaceutics
Toward Repositioning Niclosamide for Antivirulence Therapy of Pseudomonas aeruginosa Lung Infections: Development of Inhalable Formulations through Nanosuspension Technology,Quaglia F.,University of Naples Federico II,2015,Molecular Pharmaceutics
Toward Repositioning Niclosamide for Antivirulence Therapy of Pseudomonas aeruginosa Lung Infections: Development of Inhalable Formulations through Nanosuspension Technology,Imperi F.,Sapienza University of Rome,2015,Molecular Pharmaceutics
Toward Repositioning Niclosamide for Antivirulence Therapy of Pseudomonas aeruginosa Lung Infections: Development of Inhalable Formulations through Nanosuspension Technology,Leoni L.,University Roma Tre,2015,Molecular Pharmaceutics
Toward Repositioning Niclosamide for Antivirulence Therapy of Pseudomonas aeruginosa Lung Infections: Development of Inhalable Formulations through Nanosuspension Technology,Ungaro F.,University of Naples Federico II,2015,Molecular Pharmaceutics
Skin transport of PEGylated poly(ε-caprolactone) nanoparticles assisted by (2-hydroxypropyl)-β-cyclodextrin,Conte C.,University of Naples Federico II,2015,Journal of Colloid and Interface Science
Skin transport of PEGylated poly(ε-caprolactone) nanoparticles assisted by (2-hydroxypropyl)-β-cyclodextrin,Costabile G.,Gabri,2015,Journal of Colloid and Interface Science
Skin transport of PEGylated poly(ε-caprolactone) nanoparticles assisted by (2-hydroxypropyl)-β-cyclodextrin,d'Angelo I.,University of Campania Luigi Vanvitelli,2015,Journal of Colloid and Interface Science
