manuscript,authors,affiliation,year,journal
Biomedical applications of hydroxyapatite nanoparticles,Loo S.C.J.,Nanyang Technological University,2010,Current Pharmaceutical Biotechnology
Biomedical applications of hydroxyapatite nanoparticles,Moore T.L.,Me,2010,Current Pharmaceutical Biotechnology
Biomedical applications of hydroxyapatite nanoparticles,Banik B.,Clemson University,2010,Current Pharmaceutical Biotechnology
Biomedical applications of hydroxyapatite nanoparticles,Alexis F.,Clemson University,2010,Current Pharmaceutical Biotechnology
Magnetic and optical properties of multifunctional core-shell radioluminescence nanoparticles,Chen H.,Clemson University,2012,Journal of Materials Chemistry
Magnetic and optical properties of multifunctional core-shell radioluminescence nanoparticles,Colvin D.C.,Vanderbilt University,2012,Journal of Materials Chemistry
Magnetic and optical properties of multifunctional core-shell radioluminescence nanoparticles,Qi B.,Clemson University,2012,Journal of Materials Chemistry
Magnetic and optical properties of multifunctional core-shell radioluminescence nanoparticles,Moore T.L.,Me,2012,Journal of Materials Chemistry
Magnetic and optical properties of multifunctional core-shell radioluminescence nanoparticles,He J.,Clemson University,2012,Journal of Materials Chemistry
Magnetic and optical properties of multifunctional core-shell radioluminescence nanoparticles,Mefford O.T.,Clemson University,2012,Journal of Materials Chemistry
Magnetic and optical properties of multifunctional core-shell radioluminescence nanoparticles,Alexis F.,Clemson University,2012,Journal of Materials Chemistry
Magnetic and optical properties of multifunctional core-shell radioluminescence nanoparticles,Gore J.C.,Vanderbilt University,2012,Journal of Materials Chemistry
Magnetic and optical properties of multifunctional core-shell radioluminescence nanoparticles,Anker J.N.,Clemson University,2012,Journal of Materials Chemistry
Graphene coatings for enhanced hemo-compatibility of nitinol stents,Podila R.,Clemson University,2013,RSC Advances
Graphene coatings for enhanced hemo-compatibility of nitinol stents,Moore T.L.,Me,2013,RSC Advances
Graphene coatings for enhanced hemo-compatibility of nitinol stents,Alexis F.,Clemson University,2013,RSC Advances
Graphene coatings for enhanced hemo-compatibility of nitinol stents,Rao A.,Clemson University,2013,RSC Advances
Graphene coatings for biomedical implants.,Podila R.,Clemson University,2013,Journal of Visualized Experiments
Graphene coatings for biomedical implants.,Moore T.L.,Me,2013,Journal of Visualized Experiments
Graphene coatings for biomedical implants.,Alexis F.,Clemson University,2013,Journal of Visualized Experiments
Graphene coatings for biomedical implants.,Rao A.,Clemson University,2013,Journal of Visualized Experiments
Monitoring pH-triggered drug release from radioluminescent nanocapsules with X-ray excited optical luminescence,Chen H.,Clemson University,2013,ACS Nano
Monitoring pH-triggered drug release from radioluminescent nanocapsules with X-ray excited optical luminescence,Moore T.L.,Me,2013,ACS Nano
