Authors,affiliation
Aaron Lee,Adolphe Merkle Institute
Alessandro Coclite,Istituto Italiano di Tecnologia
Alessandro Zunino,Istituto Italiano di Tecnologia
Alessia Felici,Istituto Italiano di Tecnologia
Alexander B Cook,Istituto Italiano di Tecnologia
Alke Petri-Fink,Adolphe Merkle Institute
Ana Milosevic,Adolphe Merkle Institute
Andrea Armirotti,Istituto Italiano di Tecnologia
Ann M Hirt,ETH Zürich
Ann Sofie Schreurs,Nasa Ames Research Center
Anna Lisa Palange,Istituto Italiano di Tecnologia
Apparao Rao,Clemson University
Barbara Rothen-Rutishauser,Adolphe Merkle Institute
Bin Qi,Clemson University
Brandon Mattix,Clemson University
Brittany Banik,Clemson University
Calum Kinnear,Adolphe Merkle Institute
Carlo Panella La Capria,Istituto Italiano di Tecnologia
Christoph Geers,Adolphe Merkle Institute
Christophe A Monnier,Adolphe Merkle Institute
Corine Reis,Université de Fribourg
Corinne Jud,Adolphe Merkle Institute
Curzio Ruegg,Université de Fribourg
Dale A Hitchcock,Clemson University
Dan Peer,Tel Aviv University
Dan Simionescu,Clemson University
Daniel C. Colvin,Vanderbilt University
Daniel Hauser,Adolphe Merkle Institute
Daniele Di Mascolo,Istituto Italiano di Tecnologia
David Bossert,Adolphe Merkle Institute
David Burnand,Adolphe Merkle Institute
Dedy Septiadi,Adolphe Merkle Institute
Devante Horne,Clemson University
Dino Sulejmanovic,Clemson University
Dominic Urban,Adolphe Merkle Institute
Duong Nguyen,Clemson University
Elena Belotti,Istituto Italiano di Tecnologia
Erika K. Jelen,Clemson University
Even Skjervold,Clemson University
Federica Crippa,Adolphe Merkle Institute
Federica Laurino,Istituto Italiano di Tecnologia
Fenglin Wang,Clemson University
Frank Alexis,Clemson University
Giovanni Spiaggia,Adolphe Merkle Institute
Hongyu Chen,Clemson University
Ilaria Rizzuti,Istituto Italiano di Tecnologia
Jacqueline Kraveka,Medical University of South Carolina
James R Wilson,Clemson University
Jared M Brown,East Carolina University
Jeffrey N Anker,Clemson University
Jhilmil Dhulekar,Clemson University
Jian He,Clemson University
Joachim Loo,Nanyang Technological University
John C Gore,Vanderbilt University
Jörn Dengjel,Université de Fribourg
Joshua E Pitzer,East Carolina University
Karen Burg,Clemson University
Katelyn Park,Clemson University
Laetitia Haeni,Adolphe Merkle Institute
Laura Reese,Clemson University
Laura Rodriguez Lorenzo,Adolphe Merkle Institute
LAUREN O DONNELL,Clemson University
Leopold Daum,Adolphe Merkle Institute
Liurukara D Sanjeewa,Clemson University
Luca Bono,Istituto Italiano di Tecnologia
Marco Elvino Miali,Istituto Italiano di Tecnologia
Marco Lattuada,Université de Fribourg
Marco Salerno,Istituto Italiano di Tecnologia
Mariangela Mortato,Adolphe Merkle Institute
Marti Duocastella,Universitat de Barcelona
Martina Di Francesco,Istituto Italiano di Tecnologia
Mathias Bonmarin,Zurich University of Applied Sciences
Megan Casco,Clemson University
Michele Schlich,Istituto Italiano di Tecnologia
Miguel Ferreira,Istituto Italiano di Tecnologia
Miguel Spuch Calvar,Adolphe Merkle Institute
O Thompson Mefford,Clemson University
Olga Uvarov,Clemson University
Paolo Decuzzi,Istituto Italiano di Tecnologia
Paolo Zunino,Politecnico di Milano
Patricia Taladriz Blanco,Adolphe Merkle Institute
Peter J Gawne,Istituto Italiano di Tecnologia
Philipp Lemal,Adolphe Merkle Institute
Purnima N Manghnani,Istituto Italiano di Tecnologia
Rachel Morrison,Clemson University
Raffaele Spanò,Istituto Italiano di Tecnologia
Ramakrishna Podila,Clemson University
Richard P Visconti,Medical University of South Carolina
Robert L Lewis,Clemson University
Roberto Palomba,Istituto Italiano di Tecnologia
Rui Perreira,Istituto Italiano di Tecnologia
Ruth K Globus,Nasa Ames Research Center
Ruth Lyck,Theodor Kocher Institute
Samuel Pollard,Clemson University
Sandor Balog,Adolphe Merkle Institute
Sarah D Rafiee,Adolphe Merkle Institute
Sayanti Brahmachari,Istituto Italiano di Tecnologia
Shiou Jyh Hwu,Clemson University
Shoshy Mizrahy,Tel Aviv University
Stuart W Grimes,Clemson University
Thomas Crawford,University of South Carolina
Thomas Gruber,Theodor Kocher Institute
Thomas Moore,Thomas Moore
Timothy R Olsen,Clemson University
Valentina Di Francesco,Istituto Italiano di Tecnologia
Valeria Lusi,Istituto Italiano di Tecnologia
Vera Hirsch,Adolphe Merkle Institute
Wildan Abdussalam,Helmholtz-Zentrum 
Xiaojia Wang,Clemson University
